,Start Timestamp,End Timestamp,Start Latitude,Start Longitude,End Latitude,End Longitude,Distance,Activity,Confidence
105,2022-06-14 22:59:19.822000+00:00,2022-06-14 23:09:07.381000+00:00,47..6668135,-117..4014502,47..6748173,-117..3904354,2143,IN_PASSENGER_VEHICLE,HIGH
106,2022-06-15 16:50:29+00:00,2022-06-15 16:59:26+00:00,47..6747384,-117..3918872,47..6674980,-117..4010802,1447,IN_PASSENGER_VEHICLE,HIGH
107,2022-06-16 00:10:37+00:00,2022-06-16 00:22:14+00:00,47..6690886,-117..4019488,47..6592935,-117..4161998,3122,IN_PASSENGER_VEHICLE,MEDIUM
108,2022-06-16 00:30:03.824000+00:00,2022-06-16 00:35:15+00:00,47..6590197,-117..4163399,47..6590761,-117..4188136,400,WALKING,MEDIUM
109,2022-06-16 00:35:15+00:00,2022-06-16 00:44:58+00:00,47..6590761,-117..4188136,47..6747796,-117..3911649,4171,IN_PASSENGER_VEHICLE,HIGH
110,2022-06-16 02:47:08+00:00,2022-06-16 02:51:47+00:00,47..6776359,-117..3885896,47..6952845,-117..3740944,2837,IN_PASSENGER_VEHICLE,HIGH
111,2022-06-16 03:58:19.623000+00:00,2022-06-16 04:05:42.363000+00:00,47..6953452,-117..3740143,47..6747566,-117..3909795,2653,IN_PASSENGER_VEHICLE,HIGH
112,2022-06-16 16:48:55.948000+00:00,2022-06-16 17:16:46.840000+00:00,47..6748040,-117..3910034,47..6665253,-117..4006749,1785,IN_PASSENGER_VEHICLE,HIGH
113,2022-06-16 19:06:26.562000+00:00,2022-06-16 19:13:51.987000+00:00,47..6671284,-117..4015546,47..6747871,-117..3906770,1763,IN_PASSENGER_VEHICLE,HIGH
114,2022-06-16 22:00:01.711000+00:00,2022-06-17 00:03:43.699000+00:00,47..6747807,-117..3910054,47..6747249,-117..4135305,15652,IN_PASSENGER_VEHICLE,HIGH
115,2022-06-17 00:13:01+00:00,2022-06-17 01:02:16.505000+00:00,47..6744213,-117..4135173,47..6746994,-117..3908847,1723,IN_PASSENGER_VEHICLE,HIGH
116,2022-06-17 16:50:33+00:00,2022-06-17 16:57:54.082000+00:00,47..6748273,-117..3911551,47..6668532,-117..4006738,1752,IN_PASSENGER_VEHICLE,MEDIUM
117,2022-06-17 23:00:54.080000+00:00,2022-06-17 23:09:00+00:00,47..6665300,-117..4006491,47..6688225,-117..3982528,581,WALKING,LOW
118,2022-06-17 23:15:26+00:00,2022-06-17 23:18:26+00:00,47..6693653,-117..3981505,47..6643485,-117..4150302,1752,IN_PASSENGER_VEHICLE,HIGH
119,2022-06-17 23:24:38.106000+00:00,2022-06-17 23:33:48.766000+00:00,47..6639150,-117..4154098,47..6747103,-117..3909450,2821,IN_PASSENGER_VEHICLE,HIGH
120,2022-06-18 17:02:59+00:00,2022-06-18 17:08:04+00:00,47..6747921,-117..3917156,47..6712752,-117..4247555,2862,IN_PASSENGER_VEHICLE,HIGH
121,2022-06-18 17:13:45+00:00,2022-06-18 17:25:57+00:00,47..6712206,-117..4247394,47..6574783,-117..3600607,6436,IN_PASSENGER_VEHICLE,HIGH
122,2022-06-18 19:23:21+00:00,2022-06-18 19:40:43.681000+00:00,47..6574584,-117..3609868,47..6748664,-117..3909218,5627,IN_PASSENGER_VEHICLE,HIGH
123,2022-06-18 19:57:03+00:00,2022-06-18 20:03:22+00:00,47..6747671,-117..3913816,47..6525357,-117..3767012,3943,IN_PASSENGER_VEHICLE,HIGH
124,2022-06-18 21:19:08+00:00,2022-06-18 21:27:05.300000+00:00,47..6517089,-117..3755661,47..6747264,-117..3909673,3755,IN_PASSENGER_VEHICLE,HIGH
125,2022-06-19 02:45:55.141000+00:00,2022-06-19 02:53:55.226000+00:00,47..6747999,-117..3909857,47..6466385,-117..3901141,3643,IN_PASSENGER_VEHICLE,HIGH
126,2022-06-19 04:48:15+00:00,2022-06-19 05:01:22.420000+00:00,47..6488296,-117..3909757,47..6748600,-117..3908448,6510,IN_PASSENGER_VEHICLE,HIGH
127,2022-06-19 19:11:43.072000+00:00,2022-06-19 19:23:17.635000+00:00,47..6747965,-117..3909842,47..7152038,-117..4214670,6545,IN_PASSENGER_VEHICLE,HIGH
128,2022-06-19 20:52:14.791000+00:00,2022-06-19 21:03:32.539000+00:00,47..7163235,-117..4227490,47..6747934,-117..3906170,6210,IN_PASSENGER_VEHICLE,HIGH
129,2022-06-19 22:46:30+00:00,2022-06-19 23:04:07.514000+00:00,47..6747907,-117..3911799,47..7477589,-117..4000765,8590,IN_PASSENGER_VEHICLE,HIGH
130,2022-06-19 23:39:13+00:00,2022-06-19 23:48:38.357000+00:00,47..7478550,-117..4009107,47..7075802,-117..4105039,4788,IN_PASSENGER_VEHICLE,HIGH
131,2022-06-20 00:00:03.269000+00:00,2022-06-20 00:10:30.417000+00:00,47..7075706,-117..4104201,47..6747222,-117..3910766,4322,IN_PASSENGER_VEHICLE,HIGH
132,2022-06-20 21:35:03.528000+00:00,2022-06-20 22:07:41.897000+00:00,47..6751656,-117..3912357,47..8566519,-117..2768242,27075,IN_PASSENGER_VEHICLE,HIGH
133,2022-06-20 22:34:39.721000+00:00,2022-06-20 22:48:03.470000+00:00,47..8566472,-117..2768310,47..8012874,-117..3481324,8137,IN_PASSENGER_VEHICLE,HIGH
134,2022-06-20 22:58:10.435000+00:00,2022-06-20 23:18:09.139000+00:00,47..8015978,-117..3494763,47..6751428,-117..3912160,15607,IN_PASSENGER_VEHICLE,HIGH
135,2022-06-20 23:24:25+00:00,2022-06-20 23:36:04+00:00,47..6748090,-117..3911830,47..7008095,-117..4366606,6158,IN_PASSENGER_VEHICLE,HIGH
136,2022-06-20 23:47:02.205000+00:00,2022-06-20 23:58:27.221000+00:00,47..7011533,-117..4375242,47..6745473,-117..3911566,6061,IN_PASSENGER_VEHICLE,HIGH
137,2022-06-21 00:13:09+00:00,2022-06-21 00:39:28.936000+00:00,47..6747937,-117..3911831,47..6746734,-117..4136302,10656,IN_PASSENGER_VEHICLE,HIGH
138,2022-06-21 00:45:03.354000+00:00,2022-06-21 00:51:07.224000+00:00,47..6747824,-117..4140284,47..6748087,-117..3911382,2252,IN_PASSENGER_VEHICLE,HIGH
